nodeId,originalNodeId,role
0,0,NPU
1,1,NPU
2,2,NPU
3,3,NPU
4,4,NPU
5,5,NPU
6,6,NPU
7,7,NPU
8,8,NPU
9,9,NPU
10,10,NPU
11,11,NPU
12,12,NPU
13,13,NPU
14,14,NPU
15,15,NPU
16,16,NPU
17,17,NPU
18,18,NPU
19,19,NPU
20,20,NPU
21,21,NPU
22,22,NPU
23,23,NPU
24,24,NPU
25,25,NPU
26,26,NPU
27,27,NPU
28,28,NPU
29,29,NPU
30,30,NPU
31,31,NPU
32,32,NPU
33,33,NPU
34,34,NPU
35,35,NPU
36,36,NPU
37,37,NPU
38,38,NPU
39,39,NPU
40,40,NPU
41,41,NPU
42,42,NPU
43,43,NPU
44,44,NPU
45,45,NPU
46,46,NPU
47,47,NPU
48,48,NPU
49,49,NPU
50,50,NPU
51,51,NPU
52,52,NPU
53,53,NPU
54,54,NPU
55,55,NPU
56,56,NPU
57,57,NPU
58,58,NPU
59,59,NPU
60,60,NPU
61,61,NPU
62,62,NPU
63,63,NPU
64,64,NPU
65,65,NPU
66,66,NPU
67,67,NPU
68,68,NPU
69,69,NPU
70,70,NPU
71,71,NPU
72,72,NPU
73,73,NPU
74,74,NPU
75,75,NPU
76,76,NPU
77,77,NPU
78,78,NPU
79,79,NPU
80,80,NPU
81,81,NPU
82,82,NPU
83,83,NPU
84,84,NPU
85,85,NPU
86,86,NPU
87,87,NPU
88,88,NPU
89,89,NPU
90,90,NPU
91,91,NPU
92,92,NPU
93,93,NPU
94,94,NPU
95,95,NPU
96,96,NPU
97,97,NPU
98,98,NPU
99,99,NPU
100,100,NPU
101,101,NPU
102,102,NPU
103,103,NPU
104,104,NPU
105,105,NPU
106,106,NPU
107,107,NPU
108,108,NPU
109,109,NPU
110,110,NPU
111,111,NPU
112,112,NPU
113,113,NPU
114,114,NPU
115,115,NPU
116,116,NPU
117,117,NPU
118,118,NPU
119,119,NPU
120,120,NPU
121,121,NPU
122,122,NPU
123,123,NPU
124,124,NPU
125,125,NPU
126,126,NPU
127,127,NPU
128,1024,L1
129,1025,L1
130,1026,L1
131,1027,L1
132,1028,L1
133,1029,L1
134,1030,L1
135,1031,L1
136,1032,L1
137,1033,L1
138,1034,L1
139,1035,L1
140,1036,L1
141,1037,L1
142,1038,L1
143,1039,L1
144,1152,L1
145,1153,L1
146,1154,L1
147,1155,L1
148,1156,L1
149,1157,L1
150,1158,L1
151,1159,L1
152,1160,L1
153,1161,L1
154,1162,L1
155,1163,L1
156,1164,L1
157,1165,L1
158,1166,L1
159,1167,L1
160,1280,L1
161,1281,L1
162,1282,L1
163,1283,L1
164,1284,L1
165,1285,L1
166,1286,L1
167,1287,L1
168,1288,L1
169,1289,L1
170,1290,L1
171,1291,L1
172,1292,L1
173,1293,L1
174,1294,L1
175,1295,L1
176,1408,L1
177,1409,L1
178,1410,L1
179,1411,L1
180,1412,L1
181,1413,L1
182,1414,L1
183,1415,L1
184,1416,L1
185,1417,L1
186,1418,L1
187,1419,L1
188,1420,L1
189,1421,L1
190,1422,L1
191,1423,L1
192,1536,L1
193,1537,L1
194,1538,L1
195,1539,L1
196,1540,L1
197,1541,L1
198,1542,L1
199,1543,L1
200,1544,L1
201,1545,L1
202,1546,L1
203,1547,L1
204,1548,L1
205,1549,L1
206,1550,L1
207,1551,L1
208,1664,L1
209,1665,L1
210,1666,L1
211,1667,L1
212,1668,L1
213,1669,L1
214,1670,L1
215,1671,L1
216,1672,L1
217,1673,L1
218,1674,L1
219,1675,L1
220,1676,L1
221,1677,L1
222,1678,L1
223,1679,L1
224,1792,L1
225,1793,L1
226,1794,L1
227,1795,L1
228,1796,L1
229,1797,L1
230,1798,L1
231,1799,L1
232,1800,L1
233,1801,L1
234,1802,L1
235,1803,L1
236,1804,L1
237,1805,L1
238,1806,L1
239,1807,L1
240,1920,L1
241,1921,L1
242,1922,L1
243,1923,L1
244,1924,L1
245,1925,L1
246,1926,L1
247,1927,L1
248,1928,L1
249,1929,L1
250,1930,L1
251,1931,L1
252,1932,L1
253,1933,L1
254,1934,L1
255,1935,L1
256,2048,L2
257,2049,L2
258,2050,L2
259,2051,L2
260,2080,L2
261,2081,L2
262,2082,L2
263,2083,L2
264,2112,L2
265,2113,L2
266,2114,L2
267,2115,L2
268,2144,L2
269,2145,L2
270,2146,L2
271,2147,L2
272,2176,L2
273,2177,L2
274,2178,L2
275,2179,L2
276,2208,L2
277,2209,L2
278,2210,L2
279,2211,L2
280,2240,L2
281,2241,L2
282,2242,L2
283,2243,L2
284,2272,L2
285,2273,L2
286,2274,L2
287,2275,L2
288,2304,M5808
289,2305,M5808
290,2306,M5808
291,2307,M5808
292,2308,M5808
293,2309,M5808
294,2310,M5808
295,2311,M5808
296,2312,M5808
297,2313,M5808
298,2314,M5808
299,2315,M5808
300,2316,M5808
301,2317,M5808
302,2318,M5808
303,2319,M5808
304,2320,M5808
305,2321,M5808
306,2322,M5808
307,2323,M5808
308,2324,M5808
309,2325,M5808
310,2326,M5808
311,2327,M5808
312,2328,M5808
313,2329,M5808
314,2330,M5808
315,2331,M5808
316,2332,M5808
317,2333,M5808
318,2334,M5808
319,2335,M5808
