scenario,target_max_min,algorithm,case,tasks,total_bytes,pair_cv,src_total_cv,dst_total_cv,cross_fraction,rank0_send_min_bytes,rank0_send_avg_bytes,rank0_send_max_bytes,rank0_send_max_over_avg,rank0_send_max_over_min,rank0_send_cv,rank0_recv_min_bytes,rank0_recv_avg_bytes,rank0_recv_max_bytes,rank0_recv_max_over_avg,rank0_recv_max_over_min,rank0_recv_cv,makespan_us,single_rank_GBps,rank0_makespan_us,rank0_tx_GBps
maxmin1p0x,1.0,baseline,experiments/ubx16/alltoallv/distribution/cases/generated_topology_ubx16_a2av_dist_maxmin1p0x_baseline_128mb,240,2147483648,5.575503985246929e-08,0.0,5.398458520393609e-08,0.8000000007450581,8947848,8947848.533333333,8947849,1.0000000521540642,1.0000001117587156,5.575503985246929e-08,8947849,8947849.0,8947849,1.0,1.0,0.0,562.59608,238.56854459419623,559.21302,240.01180802263866
maxmin1p0x,1.0,meshclos,experiments/ubx16/alltoallv/distribution/cases/generated_topology_ubx16_a2av_dist_maxmin1p0x_meshclos_128mb,240,2147483648,5.575503985246929e-08,0.0,5.398458520393609e-08,0.8000000007450581,8947848,8947848.533333333,8947849,1.0000000521540642,1.0000001117587156,5.575503985246929e-08,8947849,8947849.0,8947849,1.0,1.0,0.0,556.75626,241.07089159626153,556.75348,241.0720953194581
maxmin1p25x,1.25,baseline,experiments/ubx16/alltoallv/distribution/cases/generated_topology_ubx16_a2av_dist_maxmin1p25x_baseline_128mb,240,2147483648,0.06434054036693454,0.0,0.011365717370504267,0.7991420668549836,8079346,8947848.533333333,10099183,1.1286716535687447,1.2500000618861973,0.06578918207584421,8156237,8951241.333333334,9733984,1.087445152858501,1.1934405535297712,0.04569471224369587,587.3656,228.50798208134765,563.21514,238.30632109783127
maxmin1p25x,1.25,meshclos,experiments/ubx16/alltoallv/distribution/cases/generated_topology_ubx16_a2av_dist_maxmin1p25x_meshclos_128mb,240,2147483648,0.06434054036693454,0.0,0.011365717370504267,0.7991420668549836,8079346,8947848.533333333,10099183,1.1286716535687447,1.2500000618861973,0.06578918207584421,8156237,8951241.333333334,9733984,1.087445152858501,1.1934405535297712,0.04569471224369587,697.44432,192.44221244786968,612.18788,219.24270699380722
maxmin1p5x,1.5,baseline,experiments/ubx16/alltoallv/distribution/cases/generated_topology_ubx16_a2av_dist_maxmin1p5x_baseline_128mb,240,2147483648,0.11947247925780669,0.0,0.021109851628948063,0.7983659505844116,7364526,8947848.533333333,11046788,1.2345747649669647,1.4999998642139358,0.119936915864568,7493307,8951612.533333333,10394053,1.161137500231988,1.3871115917177823,0.08421023431902917,611.59362,219.45573598364223,597.49522,224.63397782496065
maxmin1p5x,1.5,meshclos,experiments/ubx16/alltoallv/distribution/cases/generated_topology_ubx16_a2av_dist_maxmin1p5x_meshclos_128mb,240,2147483648,0.11947247925780669,0.0,0.021109851628948063,0.7983659505844116,7364526,8947848.533333333,11046788,1.2345747649669647,1.4999998642139358,0.119936915864568,7493307,8951612.533333333,10394053,1.161137500231988,1.3871115917177823,0.08421023431902917,828.1297,162.0733177423778,655.70826,204.69122655249151
maxmin1p75x,1.75,baseline,experiments/ubx16/alltoallv/distribution/cases/generated_topology_ubx16_a2av_dist_maxmin1p75x_baseline_128mb,240,2147483648,0.16735957248724567,0.0,0.029600501207910107,0.7976614548824728,6765911,8947848.533333333,11840344,1.323261559009552,1.749999963050061,0.16528204857876408,6930041,8950100.066666666,10956128,1.2241346932873398,1.5809614979189879,0.11719379798425786,630.65248,212.82359501702112,611.22552,219.5878994057709
maxmin1p75x,1.75,meshclos,experiments/ubx16/alltoallv/distribution/cases/generated_topology_ubx16_a2av_dist_maxmin1p75x_meshclos_128mb,240,2147483648,0.16735957248724567,0.0,0.029600501207910107,0.7976614548824728,6765911,8947848.533333333,11840344,1.323261559009552,1.749999963050061,0.16528204857876408,6930041,8950100.066666666,10956128,1.2241346932873398,1.5809614979189879,0.11719379798425786,885.76008,151.52831001370035,694.59826,193.23072879566385
maxmin2p0x,2.0,baseline,experiments/ubx16/alltoallv/distribution/cases/generated_topology_ubx16_a2av_dist_maxmin2p0x_baseline_128mb,240,2147483648,0.20941969494130513,0.0,0.037094150375502864,0.7970197591930628,6257296,8947848.533333333,12514592,1.3986146450042725,2.0,0.20380969872219812,6445536,8947400.733333332,11440524,1.2786421823467229,1.774953083808701,0.1458093212030789,648.88708,206.84296565128096,623.43302,215.28812830606887
maxmin2p0x,2.0,meshclos,experiments/ubx16/alltoallv/distribution/cases/generated_topology_ubx16_a2av_dist_maxmin2p0x_meshclos_128mb,240,2147483648,0.20941969494130513,0.0,0.037094150375502864,0.7970197591930628,6257296,8947848.533333333,12514592,1.3986146450042725,2.0,0.20380969872219812,6445536,8947400.733333332,11440524,1.2786421823467229,1.774953083808701,0.1458093212030789,930.07068,144.30917013747816,729.61852,183.95603225641804
