scenario,max_over_avg,algorithm,case,tasks,total_bytes,pair_avg_bytes,pair_min_bytes,pair_max_bytes,pair_cv,src_cv,dst_cv,cross_fraction,makespan_us,global_GBps,rank0_makespan_us,rank0_GBps
max1p0x,1.0,baseline,experiments/ubx16/alltoallv/gradient_512/cases/generated_topology_ubx16_a2av_gradient_max1p0x_baseline_512mb,240,8053063680,33554432.0,33554432,33554432,0.0,0.0,0.0,0.8,2093.68644,3846.3561334427905,2092.04358,240.58603979941947
max1p0x,1.0,matrix,experiments/ubx16/alltoallv/gradient_512/cases/generated_topology_ubx16_a2av_gradient_max1p0x_matrix_512mb,240,8053063680,33554432.0,33554432,33554432,0.0,0.0,0.0,0.8,2087.0652,3858.5587455533255,2087.05884,241.16065649591363
max1p0x,1.0,closv3,experiments/ubx16/alltoallv/gradient_512/cases/generated_topology_ubx16_a2av_gradient_max1p0x_closv3_512mb,240,8053063680,33554432.0,33554432,33554432,0.0,0.0,0.0,0.8,2087.11696,3858.463054221935,2087.11458,241.15421588401728
max1p2x,1.2,baseline,experiments/ubx16/alltoallv/gradient_512/cases/generated_topology_ubx16_a2av_gradient_max1p2x_baseline_512mb,240,8160437856,34001824.4,27738330,40265318,0.11369720807750355,0.0,0.0,0.8000000008823056,2204.0135,3702.5353320204254,2204.01096,231.40872493664912
max1p2x,1.2,matrix,experiments/ubx16/alltoallv/gradient_512/cases/generated_topology_ubx16_a2av_gradient_max1p2x_matrix_512mb,240,8160437856,34001824.4,27738330,40265318,0.11369720807750355,0.0,0.0,0.8000000008823056,2415.40592,3378.495427385555,2277.38106,223.9534590667053
max1p2x,1.2,closv3,experiments/ubx16/alltoallv/gradient_512/cases/generated_topology_ubx16_a2av_gradient_max1p2x_closv3_512mb,240,8160437856,34001824.4,27738330,40265318,0.11369720807750355,0.0,0.0,0.8000000008823056,2566.57592,3179.5037865079007,2566.57592,198.7189866567438
max1p5x,1.5,baseline,experiments/ubx16/alltoallv/gradient_512/cases/generated_topology_ubx16_a2av_gradient_max1p5x_baseline_512mb,240,8321499136,34672913.06666667,19014178,50331648,0.2787415366021269,0.0,0.0,0.8000000003845461,2364.26902,3519.692160919995,2361.9484,220.19689168484797
max1p5x,1.5,matrix,experiments/ubx16/alltoallv/gradient_512/cases/generated_topology_ubx16_a2av_gradient_max1p5x_matrix_512mb,240,8321499136,34672913.06666667,19014178,50331648,0.2787415366021269,0.0,0.0,0.8000000003845461,2948.59514,2822.1911591429944,2561.45798,203.04596056656763
max1p5x,1.5,closv3,experiments/ubx16/alltoallv/gradient_512/cases/generated_topology_ubx16_a2av_gradient_max1p5x_closv3_512mb,240,8321499136,34672913.06666667,19014178,50331648,0.2787415366021269,0.0,0.0,0.8000000003845461,3305.21168,2517.690224306602,3305.21168,157.35563901916262
max2p0x,2.0,baseline,experiments/ubx16/alltoallv/gradient_512/cases/generated_topology_ubx16_a2av_gradient_max2p0x_baseline_512mb,240,8589934576,35791394.06666667,4473924,67108863,0.5400617217057855,0.0,0.0,0.8000000008381903,2633.54618,3261.736832729472,2631.89578,203.98638695336183
max2p0x,2.0,matrix,experiments/ubx16/alltoallv/gradient_512/cases/generated_topology_ubx16_a2av_gradient_max2p0x_matrix_512mb,240,8589934576,35791394.06666667,4473924,67108863,0.5400617217057855,0.0,0.0,0.8000000008381903,3837.68636,2238.31073470006,3037.48872,176.74828138950258
max2p0x,2.0,closv3,experiments/ubx16/alltoallv/gradient_512/cases/generated_topology_ubx16_a2av_gradient_max2p0x_closv3_512mb,240,8589934576,35791394.06666667,4473924,67108863,0.5400617217057855,0.0,0.0,0.8000000008381903,4270.248,2011.5774484292251,4270.248,125.72359052682657
